"word","freq","proportion"
"bad",312,0.0104340846766103
"drink",311,0.0104006420975186
"asked",310,0.0103671995184269
"comfy",309,0.0103337569393352
"cars",308,0.0103003143602435
"near",307,0.0102668717811518
"must",307,0.0102668717811518
"entire",306,0.0102334292020601
"manager",304,0.0101665440438767
"visiting",303,0.010133101464785
"views",303,0.010133101464785
"worked",303,0.010133101464785
"working",302,0.0100996588856933
"impressed",300,0.0100327737275099
"group",299,0.00999933114841817
"fast",299,0.00999933114841817
"property",299,0.00999933114841817
"evening",296,0.00989900341114307
"keep",294,0.00983211825295967
"ask",293,0.00979867567386797
"cab",292,0.00976523309477627
"nights",291,0.00973179051568457
"phone",291,0.00973179051568457
"eat",290,0.00969834793659287
"provided",289,0.00966490535750117
"makes",289,0.00966490535750117
"needs",288,0.00963146277840947
"whole",287,0.00959802019931777
"helped",286,0.00956457762022607
"amenities",286,0.00956457762022607
"guide",282,0.00943080730385927
"quality",282,0.00943080730385927
"nothing",281,0.00939736472476757
"end",281,0.00939736472476757
"past",281,0.00939736472476757
"short",280,0.00936392214567587
"offer",280,0.00936392214567587
"gorgeous",279,0.00933047956658417
"including",278,0.00929703698749247
"along",278,0.00929703698749247
"less",277,0.00926359440840078
"movie",276,0.00923015182930908
"recently",274,0.00916326667112568
"party",274,0.00916326667112568
"offered",274,0.00916326667112568
"shop",271,0.00906293893385058
"whiskey",271,0.00906293893385058
"process",270,0.00902949635475888
"pay",269,0.00899605377566718
"warm",269,0.00899605377566718
"stadium",268,0.00896261119657548
"spot",267,0.00892916861748378
"reviews",267,0.00892916861748378
"second",266,0.00889572603839208
"included",265,0.00886228345930038
"decor",263,0.00879539830111698
"kitchen",263,0.00879539830111698
"point",262,0.00876195572202528
"reasonable",261,0.00872851314293358
"vehicle",261,0.00872851314293358
"welcoming",260,0.00869507056384188
"bring",259,0.00866162798475018
"quickly",259,0.00866162798475018
"waiting",258,0.00862818540565848
"eggs",258,0.00862818540565848
"kept",257,0.00859474282656678
"courteous",256,0.00856130024747508
"guys",256,0.00856130024747508
"size",256,0.00856130024747508
"decided",255,0.00852785766838338
"wish",255,0.00852785766838338
"name",254,0.00849441508929169
"drivers",254,0.00849441508929169
"may",253,0.00846097251019999
"almost",253,0.00846097251019999
"truly",252,0.00842752993110829
"gym",250,0.00836064477292489
"christmas",249,0.00832720219383319
"else",249,0.00832720219383319
"line",248,0.00829375961474149
"museum",247,0.00826031703564979
"set",246,0.00822687445655809
"however",246,0.00822687445655809
"looked",246,0.00822687445655809
"hampton",245,0.00819343187746639
"put",244,0.00815998929837469
"walked",244,0.00815998929837469
"thought",243,0.00812654671928299
"usually",243,0.00812654671928299
"station",243,0.00812654671928299
"king",242,0.00809310414019129
"start",242,0.00809310414019129
"tell",242,0.00809310414019129
"selection",242,0.00809310414019129
"outstanding",239,0.00799277640291619
"tea",238,0.00795933382382449
"menu",237,0.00792589124473279
"cold",237,0.00792589124473279
"wife",236,0.00789244866564109
"probably",236,0.00789244866564109
"buffet",235,0.00785900608654939
"star",234,0.00782556350745769
"road",234,0.00782556350745769
"live",232,0.0077586783492743
"incline",232,0.0077586783492743
"tub",231,0.0077252357701826
"upon",230,0.0076917931910909
"book",230,0.0076917931910909
"suites",229,0.0076583506119992
"atmosphere",229,0.0076583506119992
"ready",228,0.0076249080329075
"ill",228,0.0076249080329075
"lake",227,0.0075914654538158
"taking",227,0.0075914654538158
"greeted",226,0.0075580228747241
"due",226,0.0075580228747241
"attentive",226,0.0075580228747241
"efficient",226,0.0075580228747241
"enterprise",225,0.0075245802956324
"although",223,0.007457695137449
"leave",223,0.007457695137449
"reservation",220,0.0073573674001739
"throughout",220,0.0073573674001739
"employees",220,0.0073573674001739
"future",219,0.0073239248210822
"someone",219,0.0073239248210822
"safe",218,0.0072904822419905
"lounge",218,0.0072904822419905
"hilton",217,0.0072570396628988
"order",217,0.0072570396628988
"dog",216,0.0072235970838071
"fridge",216,0.0072235970838071
"guy",215,0.0071901545047154
"yet",215,0.0071901545047154
"holiday",213,0.007123269346532
"hard",211,0.00705638418834861
"sweet",211,0.00705638418834861
"checkin",209,0.00698949903016521
"problem",209,0.00698949903016521
"using",209,0.00698949903016521
"friend",209,0.00698949903016521
"knowledgeable",209,0.00698949903016521
"choice",209,0.00698949903016521
"pillows",208,0.00695605645107351
"table",207,0.00692261387198181
"snacks",207,0.00692261387198181
"prices",207,0.00692261387198181
"traveling",207,0.00692261387198181
"marriott",207,0.00692261387198181
"seating",207,0.00692261387198181
"met",206,0.00688917129289011
"dining",206,0.00688917129289011
"soon",205,0.00685572871379841
"received",205,0.00685572871379841
"incredible",205,0.00685572871379841
"fruit",205,0.00685572871379841
"member",205,0.00685572871379841
"meal",203,0.00678884355561501
"surprised",203,0.00678884355561501
"brought",203,0.00678884355561501
"course",203,0.00678884355561501
"nearby",203,0.00678884355561501
"ohio",201,0.00672195839743161
"unique",201,0.00672195839743161
"birthday",200,0.00668851581833991
"ordered",200,0.00668851581833991
"field",199,0.00665507323924821
"items",199,0.00665507323924821
"brand",198,0.00662163066015651
"access",198,0.00662163066015651
"yes",196,0.00655474550197311
"sleep",195,0.00652130292288141
"security",195,0.00652130292288141
"show",195,0.00652130292288141
"questions",195,0.00652130292288141
